Book_ID,Title,Author,Genre,SubGenre,Weights,Publisher,Pacing,Gender,Age_Group,language,era
1,Fundamentals of Wavelets,Jaideva Goswami,tech,signal_processing,228,Wiley,slow,female,adult,english,ancient
2,Data Smart,John Foreman,tech,data_science,235,Wiley,slow,others,adult,english,medieval
3,God Created the Integers,Stephen Hawking,tech,mathematics,197,Penguin,fast,female,child,english,modern
4,Superfreakonomics,Stephen Dubner,science,economics,179,HarperCollins,slow,female,old,hindi,medieval
5,Orientalism,Edward Said,nonfiction,history,197,Penguin,medium,others,old,hindi,modern
6,The Nature of Statistical Learning Theory,Vladimir Vapnik,tech,data_science,230,Springer,fast,male,old,hindi,modern
7,Integration of the Indian States,V P Menon,nonfiction,history,217,Orient Blackswan,fast,female,adult,hindi,modern
8,The Drunkard's Walk,Leonard Mlodinow,science,mathematics,197,Penguin,medium,others,child,english,ancient
9,Image Processing & Mathematical Morphology,Frank Shih,tech,signal_processing,241,CRC,medium,male,child,english,modern
10,How to Think Like Sherlock Holmes,Maria Konnikova,nonfiction,psychology,240,Penguin,fast,others,child,hindi,ancient
11,Data Scientists at Work,Gutierrez Sebastian,tech,data_science,230,Apress,fast,male,adult,hindi,ancient
12,Slaughterhouse Five,Kurt Vonnegut,fiction,classic,198,Random House,slow,female,old,english,medieval
13,Birth of a Theorem,Cedric Villani,science,mathematics,234,Bodley Head,slow,female,adult,hindi,ancient
14,Structure & Interpretation of Computer Programs,Gerald Sussman,tech,computer_science,240,MIT Press,fast,male,child,english,medieval
15,The Age of Wrath,Abraham Eraly,nonfiction,history,238,Penguin,medium,female,child,english,medieval
16,The Trial,Frank Kafka,fiction,classic,198,Random House,slow,female,old,english,medieval
17,Statistical Decision Theory,John Pratt,tech,data_science,236,MIT Press,medium,others,old,hindi,medieval
18,Data Mining Handbook,Robert Nisbet,tech,data_science,242,Apress,medium,female,old,hindi,modern
19,The New Machiavelli,H. G. Wells,fiction,novel,180,Penguin,slow,female,old,hindi,modern
20,Physics & Philosophy,Werner Heisenberg,philosophy,science,197,Penguin,slow,female,child,hindi,modern
21,Making Software,Andy Heisenberg,tech,computer_science,232,O'Reilly,fast,female,old,hindi,ancient
22,Analysis,Terence Tao,tech,mathematics,248,HBA,slow,male,old,english,ancient
23,Machine Learning for Hackers,Drew Conway,tech,data_science,233,O'Reilly,slow,others,child,english,medieval
24,The Signal and the Noise,Nate Silver,tech,data_science,233,Penguin,slow,others,child,hindi,modern
25,Python for Data Analysis,Wes McKinney,tech,data_science,233,O'Reilly,slow,female,adult,hindi,modern
26,Introduction to Algorithms,Thomas Cormen,tech,computer_science,234,MIT Press,fast,male,old,english,ancient
27,The Beautiful and the Damned,Siddhartha Deb,nonfiction,history,198,Penguin,medium,others,old,hindi,medieval
28,The Outsider,Albert Camus,fiction,classic,198,Penguin,slow,others,adult,english,medieval
29,The Complete Sherlock Holmes,Arthur Conan Doyle,fiction,classic,176,Random House,fast,others,adult,hindi,modern
30,The Complete Sherlock Holmes vol2,Arthur Conan Doyle,fiction,classic,176,Random House,medium,female,adult,hindi,modern
31,The Wealth of Nations,Adam Smith,science,economics,175,Random House,medium,male,child,hindi,modern
32,The Pillars of the Earth,Ken Follett,fiction,novel,176,Random House,medium,male,old,english,ancient
33,Mein Kampf,Adolf Hitler,nonfiction,autobiography,212,Rupa,fast,female,adult,hindi,medieval
34,The Tao of Physics,Fritjof Capra,science,physics,179,Penguin,medium,female,adult,english,modern
35,Surely You're Joking Mr Feynman,Richard Feynman,science,physics,198,Random House,slow,others,child,hindi,ancient
36,A Farewell to Arms,Ernest Hemingway,fiction,classic,179,Rupa,medium,female,child,hindi,ancient
37,The Veteran,Frederick Forsyth,fiction,novel,177,Transworld,slow,female,adult,english,medieval
38,False Impressions,Jeffery Archer,fiction,novel,177,Pan,medium,female,old,hindi,modern
39,The Last Lecture,Randy Pausch,nonfiction,autobiography,197,Hyperion,slow,female,adult,hindi,medieval
40,Return of the Primitive,Ayn Rand,philosophy,objectivism,202,Penguin,fast,female,old,english,ancient
41,Jurassic Park,Michael Crichton,fiction,novel,174,Random House,medium,male,old,hindi,modern
42,A Russian Journal,John Steinbeck,nonfiction,history,196,Penguin,fast,female,old,hindi,medieval
43,Tales of Mystery and Imagination,Edgar Allen Poe,fiction,classic,172,HarperCollins,medium,male,old,hindi,ancient
44,Freakonomics,Stephen Dubner,science,economics,197,Penguin,medium,others,adult,english,medieval
45,A Hidden Connections,Fritjof Capra,science,physics,197,HarperCollins,fast,others,adult,hindi,modern
46,The Story of Philosophy,Will Durant,philosophy,history,170,Pocket,fast,female,old,hindi,modern
47,Asami Asami,P L Deshpande,fiction,novel,205,Mauj,fast,female,child,hindi,modern
48,Journal of a Novel,John Steinbeck,fiction,classic,196,Penguin,fast,female,adult,hindi,modern
49,Once There Was a War,John Steinbeck,nonfiction,history,196,Penguin,medium,female,old,hindi,medieval
50,The Moon is Down,John Steinbeck,fiction,classic,196,Penguin,fast,others,adult,english,medieval
51,The Brethren,John Grisham,fiction,novel,174,Random House,medium,female,old,hindi,medieval
52,In a Free State,V. S. Naipaul,fiction,novel,196,Rupa,medium,others,old,hindi,medieval
